Title	URL	Assignees	Status	Task Type	Nature	Epic	Sprint	Expected time	Actual time
Epic 2 : As a member, I want to register a receipt to be able to be reimbursed later, and keep track of the other receipts I have			Product Backlog						
Epic 3 : As the treasurer of my association, I want to see my budget to edit one of its items then create a new balance item as I received a new receipt			Product Backlog						
User Story: As a staff member, I want my schedule to reflect my tasks			Product Backlog						
User Story : As the treasurer of the association, I want to plan the budget for the year to come, with the help of the previous ones for comparison			Product Backlog						
User Story : As the manager of a new event, I want to register it and plan it with its map and its first tasks			Product Backlog						
User Story : As a commitee member of the association, I want to make an announcements regarding the next meeting of the association			Product Backlog						
User Story : As a member of the association, I want to keep track of what's said during a meeting by recording it			Product Backlog						
User Story : As a member of multiple associations, I want to keep track of the news of all of them quickly to plan my future tasks			Product Backlog						
User Story : As a member of multiple associations, I want to easily change from one association to the other to see the minutes of meeting of the week for each of them			Product Backlog						
Invitation management	https://github.com/Assocify-Team/Assocify/issues/196		Product Backlog	Frontend : Functionality	Sprint Task			6	
Create single-association API	https://github.com/Assocify-Team/Assocify/issues/85	ortoLover	Product Backlog	Backend	Sprint Task	Misc		4	
Smooth out association creation flow	https://github.com/Assocify-Team/Assocify/issues/195		Product Backlog	Frontend : Functionality	Sprint Task			3	
Animation for login page	https://github.com/Assocify-Team/Assocify/issues/101		Product Backlog		Sprint Task				
Handle setter of associationUid	https://github.com/Assocify-Team/Assocify/issues/137		Product Backlog						
User Story : As the treasurer of my association I want to keep track of receipts (in the accounting books)			Sprint Backlog						
User Story: As a treasurer, I want to create the budget of the current year and keep track of the balance			Sprint Backlog						
User Story: As a commitee, I want to create tasks			Sprint Backlog						
User Story : As a staff member of an event, I want to see what tasks need to be done and assign myself one			Sprint Backlog						
User Story: As a staff member, I want to see the details of a task by clicking on it			Sprint Backlog						
User Story: As a staff member, I want to see the to-dos on the map			Sprint Backlog						
Edit a balance or budget item	https://github.com/Assocify-Team/Assocify/issues/149		Product Backlog						
Create a balance item or budget item	https://github.com/Assocify-Team/Assocify/issues/150		Product Backlog						
Edit a balance or budget sheet	https://github.com/Assocify-Team/Assocify/issues/151		Product Backlog						
End-to-end test 2	https://github.com/Assocify-Team/Assocify/issues/224	Mai-LinhC	Sprint Tasks				Sprint 7	2	
UI for profile : Theme settings	https://github.com/Assocify-Team/Assocify/issues/170	Mai-LinhC	Sprint Tasks	Frontend : UI	Sprint Task		Sprint 7	4	
UI for profile : Notifications settings	https://github.com/Assocify-Team/Assocify/issues/172	Mai-LinhC	Sprint Tasks	Frontend : UI	Sprint Task		Sprint 7	4	
Balance API	https://github.com/Assocify-Team/Assocify/issues/176	zizouet	Sprint Tasks	Backend	Sprint Task	Accounting	Sprint 7	12	
Create Loading page and ad to screens	https://github.com/Assocify-Team/Assocify/issues/227		Product Backlog						
Reload DB content when scroll up	https://github.com/Assocify-Team/Assocify/issues/228		Product Backlog						
Photo capture for receipt	https://github.com/Assocify-Team/Assocify/issues/109	SidonieBouthors	Done in Sprint 4		Sprint Task		Sprint 4	6	7
Dependency cleanup	https://github.com/Assocify-Team/Assocify/issues/88	SidonieBouthors	Done in Sprint 4	Setup	Sprint Task		Sprint 4	2	3
Integrate and Implement Google Map	https://github.com/Assocify-Team/Assocify/issues/136	Polymeth	Done in Sprint 4				Sprint 4	2	2
Setup Supabase : dependencies + secret 	https://github.com/Assocify-Team/Assocify/pull/92	zizouet	Done in Sprint 4	Backend	Sprint Task	Misc	Sprint 4	4	3
Move over to supabase	https://github.com/Assocify-Team/Assocify/issues/84	SekoiaTree, zizouet	Done in Sprint 4	Backend	Sprint Task		Sprint 4	5	6
Create Event Screen Task UI	https://github.com/Assocify-Team/Assocify/issues/104	ortoLover	Done in Sprint 4		Sprint Task		Sprint 4	6	8
User Story : As a first time user, they have to get into an association : they can either create one or join an existing one (which is in the database of the app). The actual app is not accessible if they're not registered in an association.	https://github.com/Assocify-Team/Assocify/issues/31		Done in Sprint 4		User Story				
Accounting SubCategoryAPI	https://github.com/Assocify-Team/Assocify/issues/202	zizouet	In Development	Backend	Sprint Task	Accounting	Sprint 7	7	
User Story : As the president of a new association, I want to register my association on the app to manage it with other members	https://github.com/Assocify-Team/Assocify/issues/32		Done in Sprint 4						
UI for budget page	https://github.com/Assocify-Team/Assocify/issues/128	sarahbadr17	Done in Sprint 4		Sprint Task		Sprint 4	4	5
UI for balance page	https://github.com/Assocify-Team/Assocify/issues/129	sarahbadr17	Done in Sprint 4		Sprint Task		Sprint 4	4	2
Clickable association on select associaiton	https://github.com/Assocify-Team/Assocify/issues/97	sarahbadr17	Done in Sprint 4		User Story		Sprint 4	2	7
Create profile page	https://github.com/Assocify-Team/Assocify/issues/28	Mai-LinhC	Done in Sprint 4		Sprint Task		Sprint 4	7	7
Add animation to tab of event page	https://github.com/Assocify-Team/Assocify/issues/223	Polymeth	Done in Sprint 4			Tasks	Sprint 7	1	1
Association Util : Check if name is valid (not too long, not the same as already existing one ?)	https://github.com/Assocify-Team/Assocify/issues/131	SekoiaTree	Sprint Tasks	Backend	Sprint Task		Sprint 7	2	
Viewmodel for budget and balance sheet	https://github.com/Assocify-Team/Assocify/issues/108	sarahbadr17	Sprint Tasks	Frontend : Functionality	Sprint Task	Accounting	Sprint 7	6	
User Story: Once I am connected in the app, I want to know what role I have in the current association	https://github.com/Assocify-Team/Assocify/issues/35		Done in Sprint 6						
Viewmodel for profile page : See your role	https://github.com/Assocify-Team/Assocify/issues/217	Mai-LinhC	Done in Sprint 6	Frontend : Functionality	Sprint Task		Sprint 6	1	0.5
Viewmodel for profile page	https://github.com/Assocify-Team/Assocify/issues/115	Mai-LinhC	Done in Sprint 6	Frontend : Functionality	Sprint Task		Sprint 6	12	20.5
Epic 1 : As the president of my association, I want to register myself, the association and its members in the application, and then go to my profile to modify my information			Done in Sprint 6						
Viewmodel for profile page : See your associations	https://github.com/Assocify-Team/Assocify/issues/218	Mai-LinhC	Done in Sprint 6	Frontend : Functionality	Sprint Task		Sprint 6	2	3
