Title	URL	Assignees	Status	Task Type	Nature	Epic	Sprint	Expected time	Actual time
Epic 2 : As a member, I want to register a receipt to be able to be reimbursed later, and keep track of the other receipts I have			Product Backlog						
Epic 3 : As the treasurer of my association, I want to see my budget to edit one of its items then create a new balance item as I received a new receipt			Product Backlog						
User Story : As a commitee member of the association, I want to make an announcements regarding the next meeting of the association			Product Backlog						
User Story : As a member of the association, I want to keep track of what's said during a meeting by recording it			Product Backlog						
User Story : As a member of multiple associations, I want to easily change from one association to the other to see the minutes of meeting of the week for each of them			Product Backlog						
User Story: As a member of an association, I want to receive notifications when new items related to me are added in the app (tasks, receipts...)			Product Backlog						
User Story : As the treasurer of the association, I want to plan the budget for the year to come, with the help of the previous ones for comparison			Product Backlog						
only admin or presidence should be able to add or edit categories in budget/balance			Product Backlog						
Clean AccountingDetailedScreen	https://github.com/Assocify-Team/Assocify/issues/363	sarahbadr17	Product Backlog						
Home screen UI	https://github.com/Assocify-Team/Assocify/issues/275		Product Backlog	Frontend : UI	Sprint Task	Home Page			
User Story : As the treasurer of my association I want to keep track of receipts (in the accounting books)			Sprint Backlog						
User Story: As a treasurer, I want to create the budget of the current year and keep track of the balance			Done in Sprint 8						
Loading system	https://github.com/Assocify-Team/Assocify/issues/258	SidonieBouthors	Done in Sprint 7	Frontend : UI			Sprint 7	5	5.5
Add loading for receipt images	https://github.com/Assocify-Team/Assocify/issues/247	SekoiaTree	Done in Sprint 7	Backend	Sprint Task	Receipts	Sprint 7	3	3
Balance API	https://github.com/Assocify-Team/Assocify/issues/176	zizouet	Done in Sprint 7	Backend	Sprint Task	Accounting	Sprint 7	12	10
Accounting SubCategoryAPI	https://github.com/Assocify-Team/Assocify/issues/202	zizouet	Done in Sprint 7	Backend	Sprint Task	Accounting	Sprint 7	7	5
Viewmodel for budget sheet	https://github.com/Assocify-Team/Assocify/issues/108	sarahbadr17	Done in Sprint 7	Frontend : Functionality	Sprint Task	Accounting	Sprint 7	6	6
Epic 4 : As the president of 2 associations, I want to register both in the app			Done in Sprint 7						
Profile : add option to add assoc (go to select/create asso)	https://github.com/Assocify-Team/Assocify/issues/239	Mai-LinhC	Done in Sprint 7	Frontend : Functionality	Sprint Task		Sprint 7	3	5
Reduce Complexity Issues	https://github.com/Assocify-Team/Assocify/issues/267	SidonieBouthors	Done in Sprint 7	Extra	Sprint Task	Misc	Sprint 7	2	2
Fix map position on the tab	https://github.com/Assocify-Team/Assocify/issues/209	Polymeth	Done in Sprint 7	Bug Fix		Task Map	Sprint 7	4	1
Fix map tab swipe gesture priority	https://github.com/Assocify-Team/Assocify/issues/210	Polymeth	Done in Sprint 7			Task Map	Sprint 7	1	1
Schedule UI	https://github.com/Assocify-Team/Assocify/issues/199	SidonieBouthors	Done in Sprint 7	Frontend : UI	Sprint Task		Sprint 7	6	5
Consistency between tabs + Tab structure	https://github.com/Assocify-Team/Assocify/issues/200	SidonieBouthors	Done in Sprint 7	Frontend : UI	Sprint Task	Misc	Sprint 7	4	3.5
UI for profile : Theme settings	https://github.com/Assocify-Team/Assocify/issues/170	Mai-LinhC	Done in Sprint 7	Frontend : UI	Sprint Task		Sprint 7	4	4
Viewmodel for balance items	https://github.com/Assocify-Team/Assocify/issues/160	sarahbadr17	Done in Sprint 7	Frontend : Functionality	Sprint Task	Accounting	Sprint 7	6	5
User Story: As a staff member, I want to see the to-dos on the map			Sprint Backlog						
User Story: As a user, I want to be able to set my preferences from my profile, such as the App theme and text size			Sprint Backlog						
Viewmodel for balance sheet	https://github.com/Assocify-Team/Assocify/issues/245	sarahbadr17	Done in Sprint 7	Frontend : Functionality		Accounting	Sprint 7	4	2
Create the UI and ViewModel of the Edit of BudgetDetail	https://github.com/Assocify-Team/Assocify/issues/293	ortoLover	Done in Sprint 7	Frontend : UI	Sprint Task	Accounting	Sprint 7	6	7
Create the UI and ViewModel of the Edit of BudgetDetail	https://github.com/Assocify-Team/Assocify/issues/296	ortoLover	Done in Sprint 7	Frontend : UI	Sprint Task	Accounting	Sprint 7	8	12
User Story: As a commitee, I want to create tasks			Done in Sprint 7						
User Story : As a staff member of an event, I want to see what tasks need to be done			Done in Sprint 7						
User Story: As a staff member, I want to see the details of a task by clicking on it			Done in Sprint 7						
User Story: As a staff member, I want my schedule to reflect my tasks			Done in Sprint 7						
Functionality for settings : Theme	https://github.com/Assocify-Team/Assocify/issues/252	Mai-LinhC	Product Backlog	Frontend : Functionality				4	
Functionality for settings : Text size	https://github.com/Assocify-Team/Assocify/issues/253	Mai-LinhC	Product Backlog	Frontend : Functionality				4	
Link amount of items to subCategory	https://github.com/Assocify-Team/Assocify/issues/317	sarahbadr17	Done in Sprint 8		Sprint Task	Accounting	Sprint 8	4	7
Add the calculation of TVA in the accounting screen	https://github.com/Assocify-Team/Assocify/issues/312	sarahbadr17	Done in Sprint 8			Accounting	Sprint 8	3	3
Link receipt to balance items	https://github.com/Assocify-Team/Assocify/issues/264	sarahbadr17	Sprint Tasks	Frontend : Functionality		Accounting	Sprint 9	4	
Don't reupload images if they haven't been changed in receipts	https://github.com/Assocify-Team/Assocify/issues/263		Product Backlog	Frontend : Functionality	Sprint Task	Receipts		3	
Fix: filter events by association (EventAPI/EventScreen)			Product Backlog						
Fix : expect error when loading categories offline (should be solved when loading is done)			Product Backlog						
Invitation management	https://github.com/Assocify-Team/Assocify/issues/196		Product Backlog	Frontend : Functionality	Sprint Task			6	
UI on Figma: pending request for joining an association	https://github.com/Assocify-Team/Assocify/issues/127		Product Backlog	Figma	Sprint Task			2	0
Actual system of invitation/request to join asso			Product Backlog						
End-to-end test 2	https://github.com/Assocify-Team/Assocify/issues/224	Mai-LinhC	Product Backlog					2	6
Languagefix: VAT instead of TVA...			Product Backlog						
Refactor possible : Not have a balanceVM in budgetScreen & vice versa			Product Backlog						
Add Row Level Security in Supabase	https://github.com/Assocify-Team/Assocify/issues/322		Product Backlog						
Notifications Look	https://github.com/Assocify-Team/Assocify/issues/211	ortoLover	Product Backlog	Frontend : UI	Sprint Task	Profile		4	
